期数,日期,红球,蓝球,销售额,奖池金额,一等奖中奖人数,一等奖中奖金额,二等奖中奖人数,二等奖中奖金额,三等奖中奖人数,三等奖中奖金额,四等奖中奖人数,四等奖中奖金额,五等奖中奖人数,五等奖中奖金额,六等奖中奖人数,六等奖中奖金额,中奖情况
2023080,2023-07-13(四),"01,02,04,09,25,31",08,363086950,2052579114,9,7025698,66,345289,1157,3000,62549,200,1223795,10,11707483,5,"内蒙古1注,辽宁1注,江苏1注,浙江1注,福建1注,四川1注,云南3注,共9注。"
2023079,2023-07-11(二),"05,06,09,12,21,22",07,352893610,2047443072,44,5140313,219,35238,3330,3000,135991,200,2080932,10,16810255,5,"北京1注,河北1注,内蒙古1注,辽宁1注,吉林1注,浙江16注,山东3注,湖北1注,湖南2注,广东15注,云南1注,陕西1注,共44注。"
2023078,2023-07-09(日),"06,08,14,19,30,31",08,376825490,2250465082,22,5429023,134,88045,3761,3000,108511,200,1792578,10,17308186,5,"天津2注,辽宁1注,吉林1注,黑龙江1注,江苏5注,福建2注,河南1注,湖南1注,广东3注,四川2注,贵州1注,云南2注,共22注。"
2023077,2023-07-06(四),"07,09,14,22,26,27",01,351174612,2334509163,8,7356811,232,101586,1612,3000,90881,200,1742154,10,7473868,5,"辽宁1注,黑龙江1注,上海1注,浙江1注,广东2注,云南1注,陕西1注,共8注。"
2023076,2023-07-04(二),"03,04,15,18,19,22",09,349981630,2322659300,8,7228807,92,242261,1291,3000,65051,200,1177669,10,10735760,5,"内蒙古1注,辽宁1注,安徽1注,山东4注,广东1注,共8注。"
2023075,2023-07-02(日),"13,15,24,28,30,31",01,382962350,2313625531,9,6942068,107,204189,1526,3000,81441,200,1516836,10,12844785,5,"河北1注,辽宁1注,福建2注,湖南3注,四川1注,新疆1注,共9注。"
2023074,2023-06-29(四),"02,08,09,18,19,21",03,358471886,2310559345,4,9084632,228,89575,2394,3000,104238,200,1597358,10,9991078,5,"辽宁1注,江苏1注,陕西2注,共4注。"
2023073,2023-06-27(二),"01,03,15,16,25,32",10,360075550,2285628386,5,8830568,64,374078,1277,3000,60309,200,1145825,10,10664350,5,"北京1注,贵州1注,云南1注,西藏1注,青海1注,共5注。"
2023072,2023-06-25(日),"02,06,10,24,25,33",09,390203400,2257958066,7,6644229,197,73030,1940,3000,89535,200,1569193,10,18846544,5,"吉林1注,上海1注,重庆1注,湖南4注,共7注。"
2023071,2023-06-22(四),"05,12,15,19,24,26",06,335357710,2261306658,16,5979075,127,154185,1726,3000,83703,200,1492709,10,9830707,5,"河北1注,辽宁2注,黑龙江1注,浙江2注,福建1注,山东1注,河南1注,湖南1注,广西2注,四川2注,甘肃2注,共16注。"
2023070,2023-06-20(二),"03,05,25,31,32,33",04,358436376,2298227329,0,0,110,248023,949,3000,53473,200,1054627,10,8483102,5,共0注。
2023069,2023-06-18(日),"12,14,17,20,21,26",02,396617204,2216379497,6,9116836,129,239350,1279,3000,69052,200,1421434,10,7795120,5,"河北2注,浙江2注,山东1注,甘肃1注,共6注。"
2023068,2023-06-15(四),"11,12,15,18,29,33",02,370869162,2178451698,1,10000000,96,295623,914,3000,54999,200,1186964,10,8519035,5,"河北1注,共1注。"
2023067,2023-06-13(二),"01,03,12,19,28,32",14,364444632,2103312244,5,9921068,220,139803,674,3000,51919,200,1161984,10,6305104,5,"河北1注,辽宁1注,黑龙江1注,福建1注,四川1注,共5注。"
2023066,2023-06-11(日),"02,07,08,10,26,31",06,393592226,2060647554,18,5976728,175,125579,1689,3000,82126,200,1508931,10,13674615,5,"河北1注,辽宁1注,黑龙江1注,浙江11注,江西1注,山东2注,新疆1注,共18注。"
2023065,2023-06-08(四),"02,14,17,20,26,33",14,364732942,2102299471,8,7757758,128,215449,1249,3000,65409,200,1151527,10,8012946,5,"河北1注,浙江3注,山东1注,河南1注,湖北1注,广东1注,共8注。"
2023064,2023-06-06(二),"01,07,11,12,16,18",04,358055754,2081628784,19,5891656,252,84035,1698,3000,78500,200,1426630,10,11135939,5,"北京1注,山西1注,河南9注,湖北1注,湖南2注,广东1注,广西3注,陕西1注,共19注。"
2023063,2023-06-04(日),"04,08,17,20,22,27",13,390718820,2130039756,4,10000000,172,167578,1324,3000,76681,200,1515457,10,8339154,5,"北京1注,广东3注,共4注。"
2023062,2023-06-01(四),"11,19,23,24,26,33",15,359921314,2083569496,1,10000000,100,302739,761,3000,47214,200,938613,10,6830757,5,"黑龙江1注,共1注。"
2023061,2023-05-30(二),"01,04,06,11,12,22",15,365432766,2002747701,3,10000000,163,169551,1134,3000,64981,200,1213837,10,7995612,5,"山东1注,湖南2注,共3注。"
2023060,2023-05-28(日),"09,11,17,19,30,31",11,402713176,1949837133,6,8459942,108,240273,1714,3000,90275,200,1693269,10,10680298,5,"辽宁1注,江苏2注,浙江1注,山东1注,陕西1注,共6注。"
2023059,2023-05-25(四),"02,06,13,22,27,32",06,374631364,1922748082,30,5520970,184,106176,2082,3000,93081,200,1496785,10,13118756,5,"吉林1注,黑龙江2注,江苏2注,浙江1注,安徽3注,福建1注,山东6注,重庆1注,河南1注,广东11注,陕西1注,共30注。"
2023058,2023-05-23(二),"10,17,22,26,30,33",11,372662796,2029768036,2,9936554,76,162386,1538,3000,74507,200,1300423,10,20143920,5,"上海1注,四川1注,共2注。"
